feature,importance,std
room_type,0.4538792411538594,0.04660725497087171
latitude,0.14454067019710948,0.020528646026573928
latitude,0.07570621545783496,0.0200374853415961
neighbourhood,0.060174459391072334,0.005989379217098769
minimum_nights_binned,0.05849963207655691,0.014651100752072337
latitude_binned,0.05249736820772455,0.021942853632401588
longitude_x_minimum_nights,0.05051219264382496,0.021298744773107538
name,0.04394782701852904,0.015146093472792142
neighbourhood_group,0.04327928078745913,0.013255975786857586
neighbourhood,0.03923734155637106,0.00678798564471951
name neighbourhood_group,0.037515754695375846,0.00741920817456135
neighbourhood_group neighbourhood,0.036296100091941244,0.002465950083072844
name neighbourhood,0.034941486264372656,0.00806783112350062
host_name neighbourhood_group,0.03279816320129356,0.009063384095564262
reviews_per_month,0.030444947503595186,0.028838891956377215
last_review,0.02990758664055022,0.013219751680404592
latitude_x_minimum_nights,0.024062102162245934,0.01971829287867336
name host_name,0.022175044346424498,0.0067208294423338035
name,0.020795724466961475,0.006901641345829456
host_name,0.020248421823684738,0.006564191517057452
host_name neighbourhood,0.02024359481109599,0.010122947807141512
host_name,0.019333968477872075,0.007791650840475948
neighbourhood_group,0.016517459703254644,0.013850583500740017
minimum_nights,0.015212141270843915,0.024280035386222636
host_name latitude,0.014709789457653244,0.013418646306606247
neighbourhood latitude,0.014325131488122622,0.009890091470746872
name latitude,0.014254848467075476,0.012907533205930188
latitude_div_minimum_nights,0.011395067765829481,0.009740141250182252
neighbourhood_group latitude,0.00835182618004211,0.022710629659501796
latitude_x_number_of_reviews,0.005073504577482879,0.018673655281086925
minimum_nights_div_number_of_reviews,0.0012256493581929817,0.0017431789859619793
minimum_nights_x_number_of_reviews,0.00046967326124729424,0.013392051749708388
latitude_div_longitude,0.0,0.0
longitude_div_number_of_reviews,-0.0070372178473206756,0.0017333327193800076
latitude_div_number_of_reviews,-0.00965274651875916,0.005295605108457247
latitude_x_longitude,-0.010489375787268784,0.015110082550276674
longitude_x_number_of_reviews,-0.02629864635577093,0.020584230182784994
longitude_div_minimum_nights,-0.030514073581078095,0.007463130062537588
number_of_reviews,-0.1257953806166796,0.030588622563574037
longitude_binned,-0.18917269513133875,0.05588135382441062
calculated_host_listings_count,-0.24191240124954305,0.03328591765028906
availability_365,-0.2552975986206135,0.04169334062609532
longitude,-0.34770899731078514,0.024832306186840274
