,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,train_time,inference_time,predictions_per_second,auc_roc,log_loss,cv_f1_mean,cv_f1_std
XGBoost,XGBoost,0.9206757253029747,0.9314451269515095,0.9208739854610478,0.9206757253029747,0.9206737955278812,0.9040365882652844,1.1154215335845947,0.021196842193603516,128462.53112275887,0.9937139933510943,0.22781448100716362,0.9263361929631048,0.0017822131501955823
TabPFN v2,TabPFN v2,0.9294895336026442,0.9391939897790522,0.9294801052895104,0.9294895336026442,0.9293618939677283,0.9147465812408154,0.45456409454345703,8.166613340377808,333.4307486478878,0.9945307830253637,0.19240715367812888,0.9334294577296275,0.0030666398431050588
TabICL,TabICL,0.9298567756151304,0.9399147487905198,0.9297310245361651,0.9298567756151304,0.9297137658208932,0.9151914193788212,0.5730667114257812,12.727133750915527,213.95233626771,0.9945556716422315,0.19144938623476565,0.9320021093059878,0.00336405690797564
FT-Transformer,FT-Transformer,0.9250826294528094,0.9340675123931018,0.9259924876910675,0.9250826294528094,0.9253181997054141,0.9093757837146751,2.6226043701171875e-06,0.04751729965209961,57305.44496292059,0.9937931705626165,0.2129907497767664,,
