Class,Precision,Recall,F1-Score,Support
BARBUNYA,0.9416342412451362,0.9132075471698113,0.9272030651340996,265
BOMBAY,1.0,1.0,1.0,104
CALI,0.9418960244648318,0.9447852760736196,0.9433384379785605,326
DERMASON,0.9152777777777777,0.9294781382228491,0.9223233030090973,709
HOROZ,0.9661458333333334,0.961139896373057,0.9636363636363636,386
SEKER,0.9423076923076923,0.9655172413793104,0.953771289537713,406
SIRA,0.8854368932038835,0.8652751423149905,0.875239923224568,527
