Class,Precision,Recall,F1-Score,Support
BARBUNYA,0.9411764705882353,0.9056603773584906,0.923076923076923,265
BOMBAY,1.0,1.0,1.0,104
CALI,0.9361702127659575,0.9447852760736196,0.9404580152671757,326
DERMASON,0.9020408163265307,0.9351198871650211,0.9182825484764543,709
HOROZ,0.968421052631579,0.9533678756476683,0.9608355091383811,386
SEKER,0.9766839378238342,0.9285714285714286,0.952020202020202,406
SIRA,0.8595505617977528,0.8709677419354839,0.8652214891611687,527
