Class,Precision,Recall,F1-Score,Support
BARBUNYA,0.952,0.8981132075471698,0.9242718446601942,265
BOMBAY,1.0,1.0,1.0,104
CALI,0.9367469879518072,0.9539877300613497,0.945288753799392,326
DERMASON,0.9163179916317992,0.926657263751763,0.9214586255259466,709
HOROZ,0.9635416666666666,0.9585492227979274,0.961038961038961,386
SEKER,0.9447115384615384,0.9679802955665024,0.9562043795620437,406
SIRA,0.8807692307692307,0.8690702087286527,0.874880611270296,527
