,FT-Transformer
model_name,FT-Transformer
accuracy,0.9250826294528094
balanced_accuracy,0.9340675123931018
precision,0.9259924876910675
recall,0.9250826294528094
f1,0.9253181997054141
mcc,0.9093757837146751
train_time,5.0067901611328125e-06
inference_time,0.29691553115844727
predictions_per_second,9170.958451974298
auc_roc,0.9937931705626165
log_loss,0.2129907497767664
