Model,Accuracy,F1_Score,F1_Macro,F1_Weighted,Precision,Recall,AUC,Train_Time,Inference_Time,N_Classes,Most_Important_Feature,Feature_Importance_Score,Robustness_Score
XGBoost,0.9206757253029747,0.9206737955278812,0.9335458736923605,0.9206737955278812,0.9208739854610478,0.9206757253029747,0.9937139933510943,1.07460618019104,0.021231651306152344,7,ShapeFactor4,0.006019168813764404,0.9833541377831688
TabPFN v2,0.9294895336026442,0.9293618939677283,0.9404490251224047,0.9293618939677283,0.9294801052895104,0.9294895336026442,0.9945307830253637,0.5565407276153564,9.565198183059692,7,ShapeFactor4,0.007458813157565056,0.9805500022925431
TabICL,0.9298567756151304,0.9297137658208932,0.9407874832172004,0.9297137658208932,0.9297310245361651,0.9298567756151304,0.9945556716422315,0.8167464733123779,13.290025472640991,7,ShapeFactor4,0.007393170939797376,0.982532371544005
FT-Transformer,0.9250826294528094,0.9253181997054141,0.9371278124486151,0.9253181997054141,0.9259924876910675,0.9250826294528094,0.9937931705626165,2.384185791015625e-06,0.05842304229736328,7,,,0.9852372418098181
