Model,RMSE,MAE,R2,MAPE,Max_Error,Q95_Error,Residual_Mean,Residual_Std,Residual_Skew,Residual_Kurtosis
XGBoost Enhanced,0.3749635765697902,0.2630160493983224,0.5938924926676097,0.059731476174569774,3.024144042813412,0.7134862214678405,0.03349445590095416,0.3734645969538585,1.331381349829139,6.751151371516128
FT-Transformer Enhanced,0.41569387338269426,0.2968580212709626,0.5008741078173964,0.06752880700033552,2.9896489275332607,0.8149320566283419,0.04734612860149882,0.412988789768388,0.9889745253737711,4.680740998993122
SAINT Enhanced,0.394286486574251,0.2865393877559191,0.5509583372904989,0.06620348071671776,2.9182351721163906,0.7458792603057973,-0.022566698314662365,0.3936401626133213,1.1817194745288035,5.468865553277018
