Model,Accuracy,F1_Score,Precision,Recall,AUC,Train_Time,Inference_Time,Most_Important_Feature,Feature_Importance_Score,Robustness_Score
XGBoost,0.897404703974047,0.6306569343065693,0.7128712871287128,0.5654450261780105,0.9212499120700224,0.1621854305267334,0.0038073062896728516,PageValues,0.5900225320377411,0.7760464309942948
TabPFN v2,0.9010543390105434,0.6494252873563218,0.7197452229299363,0.5916230366492147,0.9325526826180021,0.4875466823577881,7.977024078369141,PageValues,0.80402252614642,0.76519930619665
TabICL,0.8994322789943228,0.6426512968299712,0.7147435897435898,0.5837696335078534,0.9339501411904212,0.5100116729736328,11.641826629638672,PageValues,0.7389401993684357,0.8356150128992134
FT-Transformer,0.8957826439578265,0.6464924346629985,0.6811594202898551,0.6151832460732984,0.9219910361668558,2.1457672119140625e-06,0.05660581588745117,,,0.8235545032889228
