,XGBoost
model_name,XGBoost
mse,1438.1664601580674
rmse,37.923165218083625
mae,23.884510880429406
r2_score,0.9545824166034979
mape,0.45248302805612445
explained_variance,0.954586472741061
max_error,386.8455505371094
median_absolute_error,14.841327667236328
train_time,0.4123837947845459
inference_time,0.003801107406616211
predictions_per_second,914470.3446026469
cv_r2_mean,0.9499036910079761
cv_r2_std,0.003112367136224473
