Model,Accuracy,F1_Score,Precision,Recall,AUC,Train_Time,Inference_Time,Most_Important_Feature,Feature_Importance_Score,Robustness_Score
XGBoost,0.897404703974047,0.6306569343065693,0.7128712871287128,0.5654450261780105,0.9212499120700224,0.17151451110839844,0.0030870437622070312,PageValues,0.5900225320377411,0.7823941065411883
TabPFN v2,0.9010543390105434,0.6494252873563218,0.7197452229299363,0.5916230366492147,0.9325526826180021,0.45124244689941406,7.057358264923096,PageValues,0.80402252614642,0.7649498093138147
TabICL,0.8994322789943228,0.6426512968299712,0.7147435897435898,0.5837696335078534,0.9339501411904212,0.49149394035339355,11.650736808776855,PageValues,0.7389401993684357,0.8453835910913508
