Feature,Feature_Name,Mean_Difference,P_Value,Effect_Size,Significant
Feature_8,number_of_reviews,-0.28848063613536745,1.5348482320264958e-08,0.14316207409796378,True
Feature_10,reviews_per_month,-0.13130626290865482,6.683649762467646e-06,0.11392428831621278,True
Feature_26,longitude_binned,-0.1455756995284836,6.480184437060949e-05,0.10104019389268308,True
Feature_41,neighbourhood_group latitude,-0.0664654683080542,0.00040399255791134266,0.089470370060649,True
Feature_12,availability_365,0.058470298548926436,0.00042942500553849673,0.08906060187645665,True
Feature_6,room_type,-0.04160891355113616,0.002489290765612775,0.07649242539594038,True
Feature_16,latitude_div_minimum_nights,2103645.4291401464,0.003922868994425499,0.07294451157986818,True
Feature_11,calculated_host_listings_count,-2.3595528555728915,0.005363993503925112,0.07041143551351328,True
Feature_9,last_review,0.101470047702657,0.00968965170371403,0.06541289889592372,True
Feature_5,longitude,-0.06599062806520622,0.010994778851685707,0.06430451688230052,True
Feature_0,name,-0.0353431493183846,0.015772240096361606,0.061047890490497886,True
Feature_28,name,-0.0353431493183846,0.015772240096361606,0.061047890490497886,True
Feature_18,latitude_div_number_of_reviews,-691253.0666316315,0.03358215357744675,0.053736458076984,True
Feature_1,host_name,-0.031346132767588776,0.03533461609497285,0.05321591707944139,True
Feature_29,host_name,-0.031346132767588776,0.03533461609497285,0.05321591707944139,True
Feature_14,latitude_div_longitude,-8893.479786549437,0.0454822555273206,0.05058480093460053,True
Feature_21,longitude_x_number_of_reviews,-0.12696205448306852,0.052183926122885575,0.04909544121623228,False
Feature_35,name neighbourhood,-0.016030170653927037,0.052192121372073456,0.04909435966746041,False
Feature_2,neighbourhood_group,0.0336148626122999,0.0716645014481052,0.045546206963910395,False
Feature_30,neighbourhood_group,0.0336148626122999,0.0716645014481052,0.045546206963910395,False
Feature_13,latitude_x_longitude,0.04242219004112184,0.08446823794649043,0.04362758045270452,False
Feature_24,minimum_nights_div_number_of_reviews,2714681.4604447763,0.1598208485478407,0.03554446359572059,False
Feature_4,latitude,-0.023898921492776226,0.20290883606401663,0.03219554040414707,False
Feature_32,latitude,-0.023898921492776226,0.20290883606401663,0.03219554040414707,False
Feature_15,latitude_x_minimum_nights,0.07344740315653644,0.2496005586949977,0.029110680055006482,False
Feature_34,name neighbourhood_group,0.012283935886976011,0.30098694919108604,0.02615231563573556,False
Feature_17,latitude_x_number_of_reviews,-0.03846509842669107,0.3260975469520663,0.024829095474790695,False
Feature_36,name latitude,-0.010382152330860647,0.3387625027958113,0.024187491272465098,False
Feature_20,longitude_div_minimum_nights,832395.7773520674,0.3481279359359888,0.023723574224592734,False
Feature_39,host_name latitude,0.010297295402755513,0.3588781248060625,0.023198602170131373,False
Feature_42,neighbourhood latitude,0.008722055843858365,0.3743310113171009,0.022462470192199276,False
Feature_19,longitude_x_minimum_nights,0.09898615435782265,0.38301722692904727,0.022057548780587008,False
Feature_7,minimum_nights,-0.10059955382041275,0.3866200092165548,0.021890045437279727,False
Feature_3,neighbourhood,0.00936002410981357,0.4949124286464367,0.017256815150378163,False
Feature_31,neighbourhood,0.00936002410981357,0.4949124286464367,0.017256815150378163,False
Feature_40,neighbourhood_group neighbourhood,-0.00746572377338091,0.5291995410240138,0.01590945059966251,False
Feature_22,longitude_div_number_of_reviews,-249697.83385792573,0.5504791802482958,0.01509610629680401,False
Feature_33,name host_name,-0.004376601719827697,0.6130160927631146,0.012787965341082133,False
Feature_38,host_name neighbourhood,0.0034513914439806637,0.6716835583625517,0.010716319918240375,False
Feature_37,host_name neighbourhood_group,0.0033356896269815827,0.781182737988781,0.007023307898332782,False
Feature_25,latitude_binned,0.008183292896347227,0.8184588958123168,0.00580334697262446,False
Feature_27,minimum_nights_binned,0.006770743860127881,0.8214505419894302,0.005706020345957423,False
Feature_23,minimum_nights_x_number_of_reviews,0.0028849080688777076,0.9694665762789036,0.000967781711178991,False
