,FT-Transformer
model_name,FT-Transformer
accuracy,0.8957826439578265
balanced_accuracy,0.781200068334154
precision,0.6811594202898551
recall,0.6151832460732984
f1,0.6464924346629985
mcc,0.5866054242589961
train_time,2.1457672119140625e-06
inference_time,0.04484748840332031
predictions_per_second,54986.35682388466
auc_roc,0.9219910361668558
avg_precision,0.7335126851837732
log_loss,0.24319272494096528
brier_score,0.07404248308893813
