Model,No_Purchase_Precision,No_Purchase_Recall,No_Purchase_F1,Purchase_Precision,Purchase_Recall,Purchase_F1,Sensitivity_TPR,Specificity_TNR,FPR,FNR
XGBoost,0.9232547387887193,0.958253358925144,0.940428537791382,0.7128712871287128,0.5654450261780105,0.6306569343065693,0.5654450261780105,0.958253358925144,0.041746641074856046,0.43455497382198954
TabPFN v2,0.9275092936802974,0.9577735124760077,0.9423984891406988,0.7197452229299363,0.5916230366492147,0.6494252873563218,0.5916230366492147,0.9577735124760077,0.04222648752399232,0.4083769633507853
TabICL,0.9261838440111421,0.9572936660268714,0.9414818310523831,0.7147435897435898,0.5837696335078534,0.6426512968299712,0.5837696335078534,0.9572936660268714,0.0427063339731286,0.4162303664921466
