train_loss,val_loss,val_r2,learning_rates
311159778408.2983,13521529282.601892,-39327254110.15046,0.0001
47327753670.38192,25111545075.694195,-73036714889.53008,0.0001
18488538970.590588,3469638221.230376,-10091413437.725666,0.0001
15545466022.36207,2876535279.504986,-8366378465.667266,0.0001
7713603415.662049,7382534937.626183,-21472040363.234253,0.0001
4122541971.961684,768302920.3456917,-2234602518.142833,0.0001
3863789881.5827994,384512574.8299668,-1118351570.4324086,0.0001
1569305258.1330025,220743347.06826898,-642030181.6974584,0.0001
939135737.521053,237201286.9808233,-689897921.1975502,0.0001
829393561.7428159,44750632.76297622,-130156840.4583939,0.0001
294778696.50058573,50400375.56839683,-146589067.696406,0.0001
217879339.4274688,25323142.160061367,-73652144.79875828,0.0001
161372343.39852527,40587343.67374073,-118047946.48615417,0.0001
95923051.76555717,13745068.178470979,-39977414.76963568,0.0001
83584526.30749087,6481603.312196369,-18851687.63690886,0.0001
88890270.33319551,3203643.387752493,-9317768.6283508,0.0001
63038141.296947144,2356733.878260036,-6854539.481525613,0.0001
31308198.975156777,23892637.0011506,-69491533.94919859,0.0001
57410600.177796155,2122016.4481270774,-6171866.030741025,0.0001
92290864.3882615,2616847.6018920993,-7611077.922394535,0.0001
15279581.286773827,4828237.758937133,-14042887.874294996,0.0001
15404090.613846252,530923.410528797,-1544185.35074358,0.0001
15042546.71889974,3232223.926091872,-9400895.131378196,0.0001
21721021.527958315,1446770.174744698,-4207917.79819536,0.0001
11775154.510143705,448405.83370883507,-1304183.7670099721,0.0001
32760378.326459236,988153.1874794001,-2874034.0845926115,0.0001
10647468.92859167,1456503.1624794875,-4236226.255551332,0.0001
12908409.648839572,1151423.6133434868,-3348904.8927283636,0.0001
10627890.06628545,291329.6065931952,-847328.6892274678,0.0001
21313372.94620685,1362656.890567008,-3963275.216415991,0.0001
18480672.407514818,1100537.242579336,-3200902.448876395,0.0001
7666625.102040546,154894.7694247233,-450509.1244637256,0.0001
4351449.124301088,1843945.243851422,-5363098.412543979,0.0001
7007093.826734007,879857.7967587961,-2559057.9111894537,0.0001
18780705.09006947,451600.5387694501,-1313475.3606094993,0.0001
