model_name,r2_score,rmse,mae,mape,explained_variance,max_error,median_ae
Baseline,0.13712056215434631,185.86607357373512,56.073275275521574,30.59075812972348,0.15851475485890998,7766.737579345703,22.94196319580088
Tuned,0.13671017241169037,185.91026773309295,55.65648581536134,30.183899978468443,0.15824838796460583,7776.422988891602,22.281845092773438
