Model,R²_Score,RMSE,MAE,MSE,MAPE,Explained_Variance,Residual_Std,Max_Error,Training_Time_s,Inference_Time_s,Predictions_per_Second,Model_Size
XGBoost Enhanced,0.5938924926676097,0.3749635765697902,0.2630160493983224,0.1405976837540089,0.059731476174569774,0.5971329679009507,0.3734645969538585,3.024144042813412,0.0,0.11914944648742676,82056.6128356435,XGBoost Enhanced (Tuned)
FT-Transformer Enhanced,0.5008741078173964,0.41569387338269426,0.2968580212709626,0.17280139636790745,0.06752880700033552,0.5073489889315064,0.412988789768388,2.9896489275332607,128.97442245483398,0.1969585418701172,49639.88820778013,"89,217 parameters"
SAINT Enhanced,0.5509583372904989,0.394286486574251,0.2865393877559191,0.15546183349506704,0.06620348071671776,0.5524292906347175,0.3936401626133213,2.9182351721163906,688.7655346393585,0.13919997215270996,70237.08301661223,"106,103 parameters"
