Model,R²_Score,RMSE,MAE,MSE,MAPE,Explained_Variance,Residual_Std,Max_Error,Training_Time_s,Inference_Time_s,Predictions_per_Second,Model_Size
XGBoost,0.9545824166034979,37.923165218083625,23.884510880429406,1438.1664601580674,0.45248302805612445,0.954586472741061,37.92147176592295,386.8455505371094,0.4123837947845459,0.007255077362060547,479112.74084784754,N/A
Improved FT-Transformer,0.9384701402982683,44.14032529252371,27.95655325833618,1948.3683169298083,0.394057018206331,0.9387745843245551,44.03098876482915,438.7830810546875,94.47562313079834,0.12370419502258301,28099.289594547976,"85,377 parameters"
SAINT,0.9315825757123155,46.54530999628656,29.557962696240537,2166.4658826504137,0.3389196755562319,0.9318139883098604,46.46652674302993,423.04205322265625,161.19860458374023,1.0247130393981934,3392.169189182398,"1,810,817 parameters"
